                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 3.6729,                 3.8691,                 1.2389,                0.02666,                0.07692,                0.00392,                0.00079,                      0,              5.507e+06,                      0,               0.008845,               0.008845,               0.008845
                     37,                 3.7919,                 3.8826,                 1.2097,                0.02666,                0.07692,                0.00392,                0.00079,                      0,              5.507e+06,                      0,               0.008812,               0.008812,               0.008812
                     38,                 3.6911,                 4.2516,                  1.299,                0.02666,                0.07692,                0.00392,                0.00079,                      0,              1.439e+06,                      0,               0.008779,               0.008779,               0.008779
                     39,                 3.7687,                 3.8617,                 1.2585,                0.02666,                0.07692,                0.00392,                0.00079,                      0,             8.3556e+05,                      0,               0.008746,               0.008746,               0.008746
                     40,                 3.8752,                  3.918,                 1.2337,                0.02666,                0.07692,                0.00392,                0.00079,                      0,             8.2658e+05,                      0,               0.008713,               0.008713,               0.008713
                     41,                  3.927,                 3.8706,                 1.2285,                0.02666,                0.07692,                0.00392,                0.00079,                      0,             8.2658e+05,                      0,                0.00868,                0.00868,                0.00868
                     42,                 3.7317,                 3.9736,                 1.2607,                0.02666,                0.07692,                0.00392,                0.00079,                      0,             1.5946e+06,                      0,               0.008647,               0.008647,               0.008647
                     43,                  3.813,                 3.9329,                 1.2471,                0.02666,                0.07692,                0.00392,                0.00079,                  3e-05,             1.5939e+06,                0.01022,               0.008614,               0.008614,               0.008614
                     44,                  3.888,                 3.8241,                 1.1984,                0.02666,                0.07692,                0.00392,                0.00079,                  4e-05,              1.081e+06,                0.00776,               0.008581,               0.008581,               0.008581
                     45,                 3.7535,                 3.7398,                  1.214,                0.02666,                0.07692,                0.00392,                0.00079,                  4e-05,              1.081e+06,                0.00776,               0.008548,               0.008548,               0.008548
                     46,                 3.8521,                 3.7669,                 1.1912,                0.02666,                0.07692,                0.00392,                0.00079,                 4.6385,             1.0771e+06,                 1778.4,               0.008515,               0.008515,               0.008515
                     47,                 3.5659,                 3.6952,                 1.2089,                0.02666,                0.07692,                0.00392,                0.00079,                 4.5026,             2.8687e+06,                 1956.8,               0.008482,               0.008482,               0.008482
                     48,                 3.8728,                 3.8604,                 1.1913,                0.02666,                0.07692,                0.00392,                0.00079,                 4.5026,             4.3894e+06,                 1825.2,               0.008449,               0.008449,               0.008449
                     49,                 3.7887,                 3.8038,                 1.1698,                0.02666,                0.07692,                0.00392,                0.00079,                 4.5026,             4.3894e+06,                 1825.2,               0.008416,               0.008416,               0.008416
                     50,                 3.8337,                 3.7554,                  1.192,                0.02666,                0.07692,                0.00392,                0.00079,                 4.5029,             3.4257e+06,                 1954.7,               0.008383,               0.008383,               0.008383
                     51,                 3.6117,                 3.8391,                 1.2175,                0.02666,                0.07692,                0.00392,                0.00079,                 2.0686,             5.2376e+05,                 556.74,                0.00835,                0.00835,                0.00835
                     52,                 3.7964,                 3.6582,                 1.1835,                0.02666,                0.07692,                0.00392,                0.00079,                      0,                 6744.7,                      0,               0.008317,               0.008317,               0.008317
                     53,                 3.7659,                 3.9238,                 1.2001,                0.02666,                0.07692,                0.00392,                0.00079,                      0,                 6744.7,                      0,               0.008284,               0.008284,               0.008284
                     54,                 3.7577,                 3.5102,                  1.219,                0.02666,                0.07692,                0.00392,                0.00079,                      0,                0.00021,                      0,               0.008251,               0.008251,               0.008251
                     55,                 3.8192,                  3.808,                  1.187,                0.02666,                0.07692,                0.00392,                0.00079,                 3.0177,                 5.3461,                0.89285,               0.008218,               0.008218,               0.008218
                     56,                 3.6223,                 3.8648,                 1.1755,                0.02666,                0.07692,                0.00392,                0.00079,                 4.5351,                  16550,                 279.57,               0.008185,               0.008185,               0.008185
                     57,                 3.5762,                  3.642,                 1.2768,                0.02666,                0.07692,                0.00392,                0.00079,                 4.5351,                  16550,                 279.57,               0.008152,               0.008152,               0.008152
                     58,                 3.9169,                 3.8208,                 1.2099,                0.02666,                0.07692,                0.00392,                0.00079,                 3.8042,                 9.7075,                 1.3414,               0.008119,               0.008119,               0.008119
                     59,                 3.8625,                  3.844,                 1.2124,                 0.0011,                0.07692,                0.00075,                  7e-05,                  4.319,                 10.094,                 2.3772,               0.008086,               0.008086,               0.008086
                     60,                 3.7165,                 3.6659,                 1.1727,                0.00207,                0.07692,                0.00142,                0.00022,                 3.9033,                 10.547,                 2.0745,               0.008053,               0.008053,               0.008053
