                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  2.441,                 3.1838,                 1.3778,                0.00921,                0.03846,                0.00341,                0.00034,                  1.265,                  58745,                 24.572,               0.008878,               0.008878,               0.008878
                     36,                 2.2658,                 3.2351,                 1.4412,                0.00921,                0.03846,                0.00341,                0.00034,                  5.495,                 6652.4,                 43.845,               0.008845,               0.008845,               0.008845
                     37,                 2.3601,                 3.2216,                 1.4221,                0.00921,                0.03846,                0.00341,                0.00034,                  5.495,                 6652.4,                 43.845,               0.008812,               0.008812,               0.008812
                     38,                 2.3596,                 3.3598,                 1.4731,                0.00921,                0.03846,                0.00341,                0.00034,                 4.4231,                 397.59,                 24.092,               0.008779,               0.008779,               0.008779
                     39,                 2.3689,                 3.2952,                 1.4383,                0.01497,                0.03846,                0.00079,                0.00024,                 4.1087,                 26.569,                  15.88,               0.008746,               0.008746,               0.008746
                     40,                 2.4034,                 3.2942,                 1.3984,                0.01643,                0.03846,                0.00193,                0.00097,                 3.4802,                 13.809,                 12.321,               0.008713,               0.008713,               0.008713
                     41,                 2.4806,                 3.2518,                 1.3964,                0.01643,                0.03846,                0.00193,                0.00097,                 3.4802,                 13.809,                 12.321,                0.00868,                0.00868,                0.00868
                     42,                 2.3457,                 3.1265,                 1.4759,                 0.2186,                0.07692,                0.08517,                0.02881,                 3.0591,                 19.329,                 4.7551,               0.008647,               0.008647,               0.008647
                     43,                 2.2907,                    3.2,                 1.4008,                0.01221,                0.07692,                0.02014,                0.00314,                 3.1795,                  327.2,                 3.2495,               0.008614,               0.008614,               0.008614
                     44,                 2.5565,                 3.2084,                 1.3536,                0.01221,                0.07692,                0.02014,                0.00314,                 3.4505,                   5190,                 2.3722,               0.008581,               0.008581,               0.008581
                     45,                 2.3894,                   3.11,                 1.3452,                0.01221,                0.07692,                0.02014,                0.00314,                 3.4505,                   5190,                 2.3722,               0.008548,               0.008548,               0.008548
                     46,                 2.3427,                 3.1256,                 1.3173,                0.01221,                0.07692,                0.02014,                0.00314,                 3.2761,                   7332,                 2.2696,               0.008515,               0.008515,               0.008515
                     47,                  2.267,                 3.1044,                  1.364,                0.01221,                0.07692,                0.02014,                0.00314,                 2.9928,                   8033,                 1.7152,               0.008482,               0.008482,               0.008482
                     48,                 2.3971,                 3.2631,                 1.3135,                0.01221,                0.07692,                0.02014,                0.00314,                 2.7206,                   8522,                 1.5642,               0.008449,               0.008449,               0.008449
                     49,                 2.3005,                 3.1333,                  1.293,                0.01221,                0.07692,                0.02014,                0.00314,                 2.7206,                   8522,                 1.5642,               0.008416,               0.008416,               0.008416
                     50,                 2.4285,                 3.1717,                 1.3289,                0.01221,                0.07692,                0.02014,                0.00314,                 2.3901,                 4921.4,                 1.4341,               0.008383,               0.008383,               0.008383
                     51,                 2.0964,                 2.9931,                 1.3333,                0.01221,                0.07692,                0.02014,                0.00314,                  2.448,                 1395.3,                 1.4711,                0.00835,                0.00835,                0.00835
                     52,                 2.4424,                 3.1125,                 1.3214,                0.01221,                0.07692,                0.02014,                0.00314,                 2.3897,                 153.41,                 1.4437,               0.008317,               0.008317,               0.008317
